2025-06-06 13:14:11,126 - INFO - [Epoch 42/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:12,810 - INFO - [Epoch 43/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:14,430 - INFO - [Epoch 44/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:16,135 - INFO - [Epoch 45/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:17,736 - INFO - [Epoch 46/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:19,474 - INFO - [Epoch 47/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:21,074 - INFO - [Epoch 48/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:22,818 - INFO - [Epoch 49/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:24,459 - INFO - [Epoch 50/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:26,151 - INFO - [Epoch 51/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:27,783 - INFO - [Epoch 52/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:29,444 - INFO - [Epoch 53/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:31,059 - INFO - [Epoch 54/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:32,763 - INFO - [Epoch 55/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:34,424 - INFO - [Epoch 56/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:36,102 - INFO - [Epoch 57/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:37,694 - INFO - [Epoch 58/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:39,384 - INFO - [Epoch 59/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:41,030 - INFO - [Epoch 60/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:42,699 - INFO - [Epoch 61/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:44,399 - INFO - [Epoch 62/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:46,061 - INFO - [Epoch 63/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:47,698 - INFO - [Epoch 64/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:49,394 - INFO - [Epoch 65/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:51,049 - INFO - [Epoch 66/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:52,739 - INFO - [Epoch 67/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:54,392 - INFO - [Epoch 68/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:56,096 - INFO - [Epoch 69/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:57,739 - INFO - [Epoch 70/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
2025-06-06 13:14:59,394 - INFO - [Epoch 71/100] Dataset: IOSTAR | Loss: 21.4181 | Acc: 0.0800 | F1: 0.1482 | IoU: 0.0800 | Recall: 1.0000 | Specificity: 0.0000 | 
