2025-06-06 13:15:40,528 - INFO - [Epoch 48/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:15:43,821 - INFO - [Epoch 49/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:15:47,107 - INFO - [Epoch 50/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:15:50,396 - INFO - [Epoch 51/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:15:53,781 - INFO - [Epoch 52/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:15:57,072 - INFO - [Epoch 53/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:16:00,396 - INFO - [Epoch 54/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:16:03,731 - INFO - [Epoch 55/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:16:06,986 - INFO - [Epoch 56/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:16:10,249 - INFO - [Epoch 57/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:16:13,467 - INFO - [Epoch 58/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:16:16,704 - INFO - [Epoch 59/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:16:19,950 - INFO - [Epoch 60/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:16:23,173 - INFO - [Epoch 61/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:16:26,463 - INFO - [Epoch 62/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:16:29,733 - INFO - [Epoch 63/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:16:32,899 - INFO - [Epoch 64/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:16:36,175 - INFO - [Epoch 65/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:16:39,366 - INFO - [Epoch 66/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:16:42,693 - INFO - [Epoch 67/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:16:45,924 - INFO - [Epoch 68/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:16:49,182 - INFO - [Epoch 69/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:16:52,397 - INFO - [Epoch 70/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:16:55,675 - INFO - [Epoch 71/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:16:58,895 - INFO - [Epoch 72/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:17:02,166 - INFO - [Epoch 73/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:17:05,384 - INFO - [Epoch 74/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:17:08,680 - INFO - [Epoch 75/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:17:11,854 - INFO - [Epoch 76/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:17:15,156 - INFO - [Epoch 77/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:17:18,329 - INFO - [Epoch 78/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:17:21,634 - INFO - [Epoch 79/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:17:24,856 - INFO - [Epoch 80/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:17:28,057 - INFO - [Epoch 81/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:17:31,284 - INFO - [Epoch 82/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:17:34,536 - INFO - [Epoch 83/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:17:37,756 - INFO - [Epoch 84/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
