2025-06-06 13:14:09,965 - INFO - [Epoch 39/100] Dataset: CHASEDB_1 | Loss: 4.0882 | Acc: 0.9672 | F1: 0.7324 | IoU: 0.5778 | Recall: 0.7122 | Specificity: 0.9844 | 
2025-06-06 13:14:11,709 - INFO - [Epoch 40/100] Dataset: CHASEDB_1 | Loss: 4.1238 | Acc: 0.9653 | F1: 0.7456 | IoU: 0.5944 | Recall: 0.8066 | Specificity: 0.9760 | 
2025-06-06 13:14:13,436 - INFO - [Epoch 41/100] Dataset: CHASEDB_1 | Loss: 4.0217 | Acc: 0.9579 | F1: 0.7209 | IoU: 0.5636 | Recall: 0.8631 | Specificity: 0.9642 | 
2025-06-06 13:14:15,187 - INFO - [Epoch 42/100] Dataset: CHASEDB_1 | Loss: 3.8753 | Acc: 0.9601 | F1: 0.7314 | IoU: 0.5765 | Recall: 0.8618 | Specificity: 0.9667 | 
2025-06-06 13:14:16,964 - INFO - [Epoch 43/100] Dataset: CHASEDB_1 | Loss: 3.9075 | Acc: 0.9639 | F1: 0.7419 | IoU: 0.5897 | Recall: 0.8242 | Specificity: 0.9732 | 
2025-06-06 13:14:18,754 - INFO - [Epoch 44/100] Dataset: CHASEDB_1 | Loss: 3.7685 | Acc: 0.9572 | F1: 0.7186 | IoU: 0.5607 | Recall: 0.8673 | Specificity: 0.9632 | 
2025-06-06 13:14:20,442 - INFO - [Epoch 45/100] Dataset: CHASEDB_1 | Loss: 3.8617 | Acc: 0.9611 | F1: 0.7329 | IoU: 0.5784 | Recall: 0.8472 | Specificity: 0.9687 | 
2025-06-06 13:14:22,181 - INFO - [Epoch 46/100] Dataset: CHASEDB_1 | Loss: 3.7858 | Acc: 0.9661 | F1: 0.7519 | IoU: 0.6024 | Recall: 0.8157 | Specificity: 0.9762 | 
2025-06-06 13:14:23,977 - INFO - [Epoch 47/100] Dataset: CHASEDB_1 | Loss: 3.6833 | Acc: 0.9656 | F1: 0.7499 | IoU: 0.5999 | Recall: 0.8185 | Specificity: 0.9755 | 
2025-06-06 13:14:25,753 - INFO - [Epoch 48/100] Dataset: CHASEDB_1 | Loss: 3.5897 | Acc: 0.9601 | F1: 0.7335 | IoU: 0.5791 | Recall: 0.8702 | Specificity: 0.9662 | 
2025-06-06 13:14:27,489 - INFO - [Epoch 49/100] Dataset: CHASEDB_1 | Loss: 3.5875 | Acc: 0.9635 | F1: 0.7462 | IoU: 0.5951 | Recall: 0.8520 | Specificity: 0.9710 | 
